Date,Price,Open,High,Low,Vol.,Change %
2019/1/22,173.84,175.45,175.71,172.5,1.04M,-1.65%
2019/1/23,174.25,174.52,175.85,172.43,501.46K,0.24%
2019/1/24,176.04,174.84,176.47,174.84,581.59K,1.03%
2019/1/25,178.77,177.35,179.2,176.78,633.16K,1.55%
2019/1/28,176.54,176.3,176.59,175.1,564.32K,-1.25%
2019/1/29,174.77,176.76,176.87,174.43,535.09K,-1.00%
2019/1/30,179.79,177.4,180.26,176.47,851.87K,2.87%
2019/1/31,180.16,179.19,181.15,178.73,640.68K,0.21%
2019/2/1,181.38,180.37,182.14,180.16,515.63K,0.68%
2019/2/4,184.23,181.64,184.23,181.59,436.88K,1.57%
2019/2/5,185.75,184.7,186.15,184.6,532.26K,0.83%
2019/2/6,186.4,185.96,186.86,185.17,411.85K,0.35%
2019/2/7,183.88,184.72,185.45,182.68,514.59K,-1.35%
2019/2/8,185.07,182.3,185.07,182.18,451.41K,0.65%
2019/2/11,185.17,185.82,186.66,184.75,380.60K,0.05%
2019/2/12,187.68,186.42,187.84,186.24,579.96K,1.36%
2019/2/13,187.97,188.57,189.18,187.74,411.16K,0.15%
2019/2/14,188.41,187.39,189.05,187.12,404.92K,0.23%
2019/2/15,189.85,189.93,190,188.76,389.66K,0.76%
2019/2/19,190,189.42,190.55,189.19,654.83K,0.08%
2019/2/20,190.27,190.16,190.98,189.32,1.07M,0.14%
2019/2/21,190.23,189.87,190.91,189.08,341.34K,-0.02%
2019/2/22,192.77,191.05,192.77,191.01,387.11K,1.34%
2019/2/25,193.67,194.34,194.99,193.55,929.03K,0.47%
2019/2/26,193.98,193.11,194.5,193.01,724.10K,0.16%
2019/2/27,193.98,193.29,194.1,191.97,400.59K,0.00%
2019/2/28,193.36,193.3,194.08,192.81,273.38K,-0.32%
2019/3/1,194.6,194.86,195,192.99,410.65K,0.64%
2019/3/4,193.48,195.42,195.66,191.25,563.88K,-0.58%
2019/3/5,192.83,193.44,193.47,192.22,359.36K,-0.34%
2019/3/6,191.58,192.83,192.85,191.32,319.72K,-0.65%
2019/3/7,189.92,191.06,191.29,189.26,518.57K,-0.87%
2019/3/8,189.94,187.53,190.01,187.13,452.56K,0.01%
2019/3/11,194.11,190.67,194.23,190.67,564.77K,2.20%
2019/3/12,195.07,194.56,195.78,193.93,1.33M,0.49%
2019/3/13,196.29,195.99,197.47,195.58,650.23K,0.63%
2019/3/14,196.68,196.72,197.25,196.11,368.68K,0.20%
2019/3/15,198.89,197.26,199.73,197.19,473.77K,1.12%
2019/3/18,199.65,199.16,200.27,198.37,567.41K,0.38%
2019/3/19,200.13,200.51,200.97,199.37,537.34K,0.24%
2019/3/20,199.52,200,201.11,198.19,722.78K,-0.30%
2019/3/21,203.88,198.87,204.24,198.87,476.74K,2.19%
2019/3/22,198.7,202.71,203.56,198.63,984.56K,-2.54%
2019/3/25,197.89,198.11,199.06,196.5,541.91K,-0.41%
2019/3/26,199.04,199.46,200.81,197.95,454.34K,0.58%
2019/3/27,197.79,199.38,200,195.87,542.88K,-0.63%
2019/3/28,198.62,198.32,199.45,197.33,436.27K,0.42%
2019/3/29,200.63,200.15,200.71,199.47,413.28K,1.01%
2019/4/1,203.44,202.75,203.61,201.5,793.65K,1.40%
2019/4/2,204.02,203.42,204.31,202.84,469.63K,0.29%
2019/4/3,205.74,205.27,206.77,204.95,542.24K,0.84%
2019/4/4,204.64,205.71,206.1,203.25,421.36K,-0.53%
2019/4/5,205.61,205.33,205.84,204.99,407.56K,0.47%
2019/4/8,206.43,205.17,206.46,204.16,530.93K,0.40%
2019/4/9,205.48,205.52,206.37,205.1,698.66K,-0.46%
2019/4/10,207.12,205.76,207.14,205.65,551.81K,0.80%
2019/4/11,207.02,207.44,207.55,206.53,357.32K,-0.05%
2019/4/12,208.36,208.16,208.4,207.02,387.65K,0.65%
2019/4/15,208.36,208.53,208.98,207.25,395.64K,0.00%
2019/4/16,209.26,209.11,209.66,208.36,402.98K,0.43%
2019/4/17,210.01,210.45,210.59,209.16,583.18K,0.36%
2019/4/18,210.39,210.29,210.44,208.84,383.46K,0.18%
2019/4/22,211.04,209.55,211.08,209.35,493.87K,0.31%
2019/4/23,213.47,211.49,213.7,211.25,1.97M,1.15%
2019/4/24,213.61,213.61,214.65,213.33,486.95K,0.07%
2019/4/25,213.34,214.64,215.04,212.15,626.47K,-0.13%
2019/4/26,212.89,212.37,212.91,210.61,1.70M,-0.21%
2019/4/29,213.03,212.91,213.77,212.83,1.51M,0.07%
2019/4/30,213.41,213.02,213.67,211.67,1.41M,0.18%
2019/5/1,212.59,215.41,215.77,212.59,461.00K,-0.38%
2019/5/2,211.61,212.58,214.07,210.37,817.91K,-0.46%
2019/5/3,213.69,212.6,213.88,212.12,323.56K,0.98%
2019/5/6,212.25,208.74,212.56,207.9,1.00M,-0.67%
2019/5/7,207.74,209.82,210.7,205.83,1.05M,-2.12%
2019/5/8,207.36,207.19,209.06,206.61,704.60K,-0.18%
2019/5/9,205.97,204.98,206.57,202.31,917.90K,-0.67%
2019/5/10,206.55,204.66,207.44,201.66,523.92K,0.28%
2019/5/13,198.54,200.89,201.88,197.95,1.56M,-3.88%
2019/5/14,201.87,199.6,203.01,199.58,662.55K,1.68%
2019/5/15,203.94,200.48,204.6,200.38,1.53M,1.03%
2019/5/16,206.05,204.18,207.39,203.98,795.01K,1.03%
2019/5/17,204,203.88,206.83,203.79,404.75K,-0.99%
2019/5/20,200.43,200.85,202.07,199.59,640.91K,-1.75%
2019/5/21,203.17,202.58,203.71,202.31,307.41K,1.37%
2019/5/22,201.94,201.78,203.25,201.78,314.72K,-0.61%
2019/5/23,198.27,199.39,199.51,196.96,791.69K,-1.82%
2019/5/24,198.43,199.5,200.39,198.27,292.19K,0.08%
2019/5/28,197.81,199.05,200.36,197.81,418.80K,-0.31%
2019/5/29,196.48,196.51,197.7,195.39,786.63K,-0.67%
2019/5/30,197.64,197.12,198.2,196.45,404.74K,0.59%
2019/5/31,194.46,195.23,196.32,194.39,480.03K,-1.61%
2019/6/3,190.92,194.79,195.7,189.69,837.62K,-1.82%
2019/6/4,197.26,193.38,197.37,192.51,433.92K,3.32%
2019/6/5,199.81,199.75,200.27,197.4,818.07K,1.29%
2019/6/6,202.02,200.2,202.5,199.36,552.48K,1.11%
2019/6/7,205.55,203.04,206.73,202.8,403.92K,1.75%
2019/6/10,207.8,207.24,209.95,207.18,799.34K,1.09%
2019/6/11,207.55,210.07,210.31,206.47,1.22M,-0.12%
2019/6/12,206.65,206.86,207.26,206.06,395.46K,-0.43%
2019/6/13,207.25,207.39,207.87,206.59,1.04M,0.29%
2019/6/14,205.39,205.7,206.06,204.68,248.05K,-0.90%
2019/6/17,205.8,205.58,206.69,205.39,274.36K,0.20%
2019/6/18,209.25,207.86,210.5,207.34,402.51K,1.68%
2019/6/19,210.26,209.84,210.75,208.5,377.02K,0.48%
2019/6/20,213.16,213.4,214.04,211.47,467.13K,1.38%
2019/6/21,211.4,212.18,213.17,211.26,481.60K,-0.83%
2019/6/24,211.22,211.8,212.18,211.22,286.35K,-0.09%
2019/6/25,207.52,211.21,211.32,207.29,470.39K,-1.75%
2019/6/26,209.51,209.44,211.13,209.44,278.91K,0.96%
2019/6/27,210.48,210.37,210.97,209.93,392.65K,0.46%
2019/6/28,210.89,211.2,211.38,209.85,632.69K,0.19%
2019/7/1,213.98,215.37,215.66,213.03,894.34K,1.47%
2019/7/2,214.61,213.75,214.61,213.3,355.31K,0.29%
2019/7/3,216.15,215.03,216.15,214.62,239.45K,0.72%
2019/7/5,215.82,214.63,216.1,213.64,275.68K,-0.15%
2019/7/8,214.22,214.35,214.49,213.32,251.10K,-0.74%
2019/7/9,215.03,212.95,215.23,212.89,848.71K,0.38%
2019/7/10,216.68,216.15,218.01,216.14,610.07K,0.77%
2019/7/11,217.4,217.24,218.15,216.65,381.63K,0.33%
2019/7/12,219.14,217.93,219.16,217.69,304.50K,0.80%
2019/7/15,219.68,219.59,220,219.12,280.60K,0.25%
2019/7/16,217.82,219.51,219.51,217.37,1.65M,-0.85%
2019/7/17,217.29,217.92,218.65,217.29,218.01K,-0.24%
2019/7/18,218.83,217,219.14,216.52,348.32K,0.71%
2019/7/19,217.64,220.67,220.9,217.53,369.36K,-0.54%
2019/7/22,220,218.51,220.57,218.51,354.09K,1.08%
2019/7/23,221.25,221.29,221.29,219.5,316.57K,0.57%
2019/7/24,223.32,220.99,223.37,220.86,333.01K,0.94%
2019/7/25,221.74,222.89,222.89,221.27,385.00K,-0.71%
2019/7/26,223.28,222.57,223.59,222.53,253.89K,0.69%
2019/7/29,222.93,223.28,223.67,220.96,528.84K,-0.16%
2019/7/30,221.58,221.24,222.43,220.88,231.19K,-0.61%
2019/7/31,218.35,222.52,222.96,216.05,664.97K,-1.46%
2019/8/1,217.25,218.74,223.2,216.18,880.61K,-0.50%
2019/8/2,213.2,215.51,216,211.44,686.78K,-1.86%
2019/8/5,204.44,207.58,207.61,202.62,1.10M,-4.11%
2019/8/6,207.43,206.97,208.27,205.17,695.59K,1.46%
2019/8/7,208.85,205.27,209.25,204.13,462.77K,0.68%
2019/8/8,214.02,210.52,214.1,210.12,1.10M,2.48%
2019/8/9,211.58,212.89,213.32,210.1,358.86K,-1.14%
2019/8/12,208.77,210.21,210.67,207.82,411.14K,-1.33%
2019/8/13,213.79,208.63,214.54,208.16,423.82K,2.40%
